Artist,Title,genre_id
Robbie Williams,H.E.S.,2
Nick Cave and the Bad Seeds,We Came Along This Road,14
Noel Gallagher's High Flying Birds,Let The Lord Shine A Light On Me,21
John Williams,Музыка к кинофильму Список Шиндлера,18
Darling Violetta,Smaller God,18
Vivienne Mort,Я буду..,18
"Vivienne Mort (Teatr PipinО, 2013)",Камінсорі ,18
Vivienne Mort,Сліди маленьких рук,18
Vivienne Mort,Лети,18
Кому вниз ТГ, Ліра. Вишня Борія,18
 DANCE WITH THE DEAD,Sunset ,1001
DANCE WITH THE DEAD,Blind,18
DANCE WITH THE DEAD ,Robeast ,1001
daKooka,coffee,18
Ok Go,Invincible,18
The Cinematic Orchestra,To Build A Home feat. Patrick Watson,1001
Metric,Sick Muse,18
The Cranberries,Conduct,1
Stone Temple Pilots,Interstate Love Song,1
Wu-Tang Clan,Rivers Of Blood (Instrumental),3
Slash,Paradise City (feat. Fergie & Cypress Hill),1
Paradise Lost,Erased(Gothic Metal / Doom Metal),18
Ennio Morricone,L'estasi Dell'oro (The Ecstasy Of Gold),2
    Yves Montand ,"Sous le ciel de Paris (""Под небом Парижа"" венский вальс) божественная песня и музыка",18
Electric Youth,The Best Thing,18
Saltatio Mortis,Gott wurfelt nicht,13
Hans Zimmer ,Day One Dark[OST Интерстеллар],1001
Strangeweather,Mourning Sun,18
Би-2,Вечная призрачная встречная,18
Би-2 и диана Арбенина,Из-за меня,1
The Merlons Of Nehemiah,Angst,13
Gasmac Gilmore,I Am God,18
Omega,Gyöngyhajú Lány (The Girl With The Pearl`s Hair-1969),1
Sabaton,40:1,18
Gasmac Gilmore,Pitchblack,18
L`ame Immortelle,Fallen Angel,18
Би-2,Блюз 16+,1001
Iggy Pop,In The Death Car ,2
Apocalyptica feat Marta Jandova,En vie,1
Nargiz Zakirova feat  The Ørphans,Alone,1001
Darren Korb feat. Ashley Barrett,Paper Boats,18
Darren Korb & Ashley Barrett,The Spine (Transistor OST),1001
Slash,Anastasia,1
Meghan Trainor,All About That Bass,2
Гудімов,Сумую,1
AWOLNATION,Kill Your Heroes,18
Portugal. The Man,My Mind,18
 ScottDunbar,TinFoilHat,18
Fergie feat. Slash,Beautiful dangerous,18
 Evanescence ,Missing,18
Slash,Nothing to Say (feat. M.Shadows from Avenged Sevenfold),1
Reamon,"Sometimes(OST ""Кит"")",18
Johnny Cash,Hurt,1001
Dolores O`Riordan ,Ordinary Day,18
CATHEDRALS,In The Dark,1001
John Murphy,28 Theme,2
Epica,Blank Infinity,18
The Cranberries,Zombie,2
Shelley Harland,Stay,1001
Dance with the dead,Mr. Terror,18
Harley Poe,That Time of the Month,18
Jesus on Extasy,Stay with me,18
Akira Yamaoka & Mary Elizabeth McGlynn,Waiting For You,18
Delain,Control The Storm,7
Delain,April Rain,18
Icon For Hire,Make A Move,18
Fit For Rivals,Crash,21
ONE OK ROCK,Deeper Deeper,18
The Prodigy,Invaders Must Die,22
Vladimir Cosma,"Les Comperes (OST ""Папаши"" (1983))",2
Portugal. The Man,People Say,18
Ludovico Einaudi,Experience,18
Metallica,The Day That Never Comes,7
Epica,Delirium,7
Epica,Our Destiny,18
Godsmack,Straight Out of Line,18
My Darkest Days,Still Worth Fighting For,1
Edguy,Dragonfly,18
Darren Korb,The Spine (feat. Ashley Barrett) (Transistor OST),1001
Darren Korb,Paper Boats (feat. Ashley Barrett) (Transistor OST),1001
Akira Yamaoka,When You're Gone,18
[Akira Yamaoka & Melissa Williamson,I Want Love (Silent Hill 3 OST)],18
Akira Yamaoka & Melissa Williamson (Mary Elizabeth McGlynn) ,Hell Frozen Rain (Silent Hill Shattered Memories OST),6
Katie Melua,The Flood,2
Алина Орлова,Летели облака (cover ДДТ),18
ДДТ,Осенняя,1
daKooka,someone and noone,1001
Eels,I Like Birds,18
Slash,Bad Rain,21
Poets of the Fall,Roses,18
Sunrise Avenue,Only,18
Wolfgang Amadeus Mozart,Requiem (Lacrymosa),16
Poets Of The Fall,War,1
Brainstorm,French Cartoon,18
Tom Tykwer/Johnny Klimek/Reinhold Heil,"12. Temple Of Sacrifice (OST-HD: Облачный атлас / Cloud Atlas) (vk.com/OstHD)  музыка из фильма, музыка из трейлера, саундтрек, саундтрэк",2
The Piano Guys,All of Me (Jon Schmidt),18
 Two Door Cinema Club ,I Can Talk,6
KONGOS,I'm Only Joking,18
System Of A Down,Kill Rock 'N Roll,18
Radiohead,Reckoner,21
Metallica,"Die, Die My Darling",18
Megadeth,Promises,7
My Chemical Romance,Famous Last Words,1
Green Day,Holiday,18
Semisonic,Closing Time,1
Blood Red Shoes,It's Getting Boring By The Sea (OST Скотт Пилигрим против всех),18
The Clash At Demonhead,Black Sheep (OST Скотт Пилигрим против всех),18
Glenn Morrison feat. Islov,Goodbye,1001
White Rabbits,Percussion Gun,18
Edvard Grig,In the Hall of the Mountain King,16
Robert Wells,Chopin Fantasie,18
8th,Loveshit,18
Morrissey,Earth Is the Loneliest Planet,18
Morrissey,Kiss Me Alot,18
Fuel,Cold Summer,1001
White Sea,Flash,22
Koven,Another Home,8
Ta-ku,Why,6
The Glitch Mob,Animus Vox,18
David Garrett,Who Wants to Live Forever,18
Midnight Juggernauts,Ballad of the War Machine,18
Benji Hughes,Waiting For An Invitation,18
Xandria,Dreamkeeper,1001
Estetic Education,Vasil Vasiltsiv,18
 Bear Mountain ,Two Step ,18
SomethingALaMode,Losing Game ,1001
Arctic Monkeys,Feels Like We Only Go Backwards (Tame Impala cover on Triple J 2014),1001
Three Days Grace,Someone Who Cares,18
Muse,Take A Bow,18
The Servant,Cells (instrumental),18
Moddi,House By The Sea,18
Scorpions,Tainted Love,1
VOSMOY,Hammer,18
Vanilla Sky,Too Late,18
Delain,April Rain,18
Coockoo,Something New,18
God Is An Astronaut,From Dust to the Beyond,18
Temples,The Golden Throne,18
The Federal Ft. Rachael Kime,You Don't Want Me Around,1001
Three Days Grace,The High Road,1
The Pretty Reckless,Fucked Up World,1001
The Pretty Reckless,Why'd You Bring A Shotgun to The Party,18
Arctic Monkeys,Why’d You Only Call Me When You’re High,3
The Pretty Reckless,Absolution,21
Tim Minchin,So Long (As We Are Together),18
Tim Minchin,Rock 'N' Roll Nerd,19
The Stranglers,Golden Brown,2
Cirque du Soleil,Atmadja [Quidam_1],4
Cirque du Soleil,Rain One (Varekai),18
Cirque Du Soleil (Quidam),Steel Dream,18
Andreas Vollenweider - Book Of Roses (1991),The Grand Ball Of The Duljas,4
Andreas Vollenweider,Hirzel,1001
Quidam,Atmadja (Cirque Du Soleil) ,18
Digital Emotion,"Get Up, Action (Do You Wanna Funk)",18
PNAU,Embrace,18
Pnau,Solid Ground,22
Marina And The Diamonds,Electra Heart,22
Ninet Tayeb,A Girl Like Me,1001
Julie London,Fly Me To The Moon,18
VNV Nation,Illusion,18
Reamonn,Supergirl,18
U2,Ordinary Love,21
John Lennon,Imagine,1
Panic! at the Disco,Nicotine,1
Tim Minchin,If You Really Loved Me,19
Tim Minchin,Inflatable You,18
THE HARDKISS,Tell Me Brother  ,1001
The Cinematic Orchestra,Arrival of the Birds,2
Cory lee,Love to burn,2
OK Go,Here It Goes Again,18
The Rasmus,Justify,18
Submotion Orchestra,Hard To Stay,18
Joby Talbot,"Jonny Piano (OST ""Пенелопа"")",18
Brainstorm,Leaving` to L.A.,18
Coldplay,Green Eyes,1
Nickelback,Never Gonna Be Alone,1
IAMX,Avalanches,18
Birdy,Strange Birds,18
Hypnogaja,Kill The Humans,1
Empire of the Sun,Old Favours,18
Empire of the Sun,Celebrate,18
Tim McMorris,Give Our Dreams Their Wings To Fly,18
Dikta,Breaking The Waves,21
Johny Cash,One,1
Stone Sour,Through The Glass,18
John Brion,Change Your Heart,18
Scorpions,Still loving you,1
Louis Prima,"Sing, Sing, Sing (With a Swing)",2
Alex Band,"One life to live, оne love to give ",1
Mandy More,Only Hope,18
Keane,Higher Than The Sun,21
Pur:Pur,Me is,18
Pur:Pur,Синяя Борода,18
Pur:Pur,A Kiss,14
Hypnogaja,Kill The Humans,1
Adiemus - The Best Of Adiemus (1999),12.Cantus - Song Of Tears (Edit),16
Сергей Бабкин ,"Возьми меня (""Сергевна"", 2013)",1
Сергей Бабкин,Забери меня к себе ,18
Мумий Тролль,Дельфины,18
Arctic Monkeys,I Bet You Look Good On The Dancefloor,18
Sting,Until,18
Groove Armada,Easy,18
Stabilo,Everybody,18
AWOLNATION,Wake Up,18
Крихітка Цахес,Монета,18
Ashram,Maria And The Violin's String,18
Hellsing OST,The World Without Logos,18
Armin van Buuren feat. Lauren Evans,Alone,11
Poets of the Fall,Where Do We Draw the Line,18
Guyz Nite,Die Hard,18
Franz Ferdinand,Take Me Out,18
Two Steps﻿ From Hell,Strength Of A Thousand Men (Instrumental Core Remix)  ♥ vk.com/club_smakmusic ,18
Tim McMorris,It's a Beautiful Day,18
Something A La Mode,GString,18
The BossHoss,Don't gimme that,18
Bleach OST,Shiro Sagisu - Will of the heart,18
